iter	Logloss
0	0.6926495301
1	0.6923307772
2	0.6919014125
3	0.6914500635
4	0.6910694781
5	0.6906590773
6	0.6904319553
7	0.6900500618
8	0.6895542499
9	0.689159582
10	0.6887442877
11	0.6884361534
12	0.6880203727
13	0.6875497554
14	0.687025186
15	0.6866472053
16	0.6862409579
17	0.6859555108
18	0.6855410275
19	0.6853272731
20	0.6848354395
21	0.6846071003
22	0.6843294751
23	0.6841285306
24	0.6838265885
25	0.68347575
26	0.6832444752
27	0.6828356046
28	0.6824949151
29	0.6820860218
30	0.6817247744
31	0.6814871288
32	0.6811027789
33	0.6806765641
34	0.6801822769
35	0.6800157353
36	0.6798129114
37	0.6796085283
38	0.6791491202
39	0.6788040932
40	0.6783556288
41	0.678110315
42	0.6778087976
43	0.6774439267
44	0.6772924364
45	0.6770979659
46	0.6766687336
47	0.6764929699
48	0.6763591948
49	0.6761347113
50	0.675758364
51	0.6755125908
52	0.675271198
53	0.6749456161
54	0.6746674977
55	0.6744582713
56	0.6740952043
57	0.6737300825
58	0.6734327381
59	0.6732025
60	0.6729610727
61	0.6728322526
62	0.6725731631
63	0.6724121643
64	0.6722289836
65	0.6720086139
66	0.6718838186
67	0.6714946945
68	0.671329158
69	0.6711636018
70	0.6709300461
71	0.6707178902
72	0.6705342543
73	0.6703762351
74	0.6701603263
75	0.6698433205
76	0.6696359804
77	0.6694506247
78	0.6691747404
79	0.6690733451
80	0.6689302325
81	0.6688809915
82	0.6687121141
83	0.6685917412
84	0.6684845689
85	0.6683540134
86	0.6680489517
87	0.6676940901
88	0.6675290179
89	0.6672420266
90	0.6670290706
91	0.6668557768
92	0.6665769588
93	0.6664211796
94	0.6662011296
95	0.6659005852
96	0.6658097492
97	0.6657292202
98	0.6655380863
99	0.6651889112
100	0.6650814105
101	0.6648544538
102	0.6647937512
103	0.6646533955
104	0.6645947363
105	0.6644631047
106	0.6643159145
107	0.6641366525
108	0.663952378
109	0.6636011325
110	0.6633054502
111	0.6631643305
112	0.6631138204
113	0.6629969409
114	0.6628404025
115	0.6627779002
116	0.6626908397
117	0.6624162215
118	0.6621545593
119	0.6620760672
120	0.6619910605
121	0.6617712122
122	0.6617329937
123	0.6615289602
124	0.661396729
125	0.6613463493
126	0.6609577284
127	0.6607914982
128	0.6604793985
129	0.6602593799
130	0.6601357412
131	0.6600198723
132	0.659962543
133	0.6598329215
134	0.6597833978
135	0.6596276864
136	0.6595390433
137	0.6594880663
138	0.6594399442
139	0.6593092405
140	0.6589943301
141	0.6588939734
142	0.658769096
143	0.6587392071
144	0.6587095303
145	0.6586381682
146	0.6583409021
147	0.6580767739
148	0.6579296755
149	0.6577298451
150	0.6576048024
151	0.6575175952
152	0.6574430575
153	0.6573393792
154	0.6571951364
155	0.6571633464
156	0.6570313607
157	0.6569641428
158	0.6567704904
159	0.6566929949
160	0.6566189366
161	0.6565002921
162	0.656381172
163	0.6562275291
164	0.656107828
165	0.6560177928
166	0.655871649
167	0.6556400428
168	0.6555807519
169	0.6555044411
170	0.6554241866
171	0.6552838217
172	0.6550701104
173	0.6550629936
174	0.65501942
175	0.6549836561
176	0.6548664311
177	0.6548327029
178	0.6547983865
179	0.6547684639
180	0.6546344683
181	0.65452301
182	0.6543398406
183	0.6543212768
184	0.6542105727
185	0.6541151454
186	0.6539672593
187	0.6538940562
188	0.6538377912
189	0.6538003922
190	0.6537348647
191	0.6537200146
192	0.6535180126
193	0.6534000373
194	0.6532973485
195	0.6532589313
196	0.6532076673
197	0.6529386379
198	0.6529271884
199	0.6528598328
200	0.6527944287
201	0.6526224209
202	0.6525161516
203	0.6524878964
204	0.6524639986
205	0.65240172
206	0.6523450879
207	0.6522479169
208	0.6521660177
209	0.652052119
210	0.6520171433
211	0.651979597
212	0.6519383631
213	0.6519149568
214	0.6518348656
215	0.6517073591
216	0.6516444329
217	0.6515620013
218	0.6514867973
219	0.651461942
220	0.6514017371
221	0.6513603239
222	0.6512631331
223	0.6511699259
224	0.6511339242
225	0.6510649978
226	0.6509367405
227	0.6507809247
228	0.6507254302
229	0.6506779291
230	0.6504938488
231	0.6504514967
232	0.6503655122
233	0.6503002465
234	0.6502529385
235	0.6502255857
236	0.6501011085
237	0.6500584784
238	0.6500368959
239	0.6499536341
240	0.6499066257
241	0.6498574098
242	0.6497702179
243	0.6497446367
244	0.6497145963
245	0.6496198794
246	0.6495322096
247	0.649439288
248	0.6493924685
249	0.6493219374
250	0.6492956391
251	0.6492525444
252	0.6492264723
253	0.6492200291
254	0.6490898762
255	0.6488270784
256	0.6488050859
257	0.6487859498
258	0.6487538675
259	0.6487266734
260	0.6486389643
261	0.6485556438
262	0.6485251817
263	0.648382945
264	0.6483429088
265	0.6482732294
266	0.6481419446
267	0.6481050654
268	0.6479971314
269	0.647980857
270	0.6479224343
271	0.6478766505
272	0.6477830217
273	0.6477220027
274	0.6476854059
275	0.6476740834
276	0.6476298417
277	0.6475836123
278	0.6475576452
279	0.6473123216
280	0.6471966489
281	0.6471782245
282	0.6471638981
283	0.647035293
284	0.6469857042
285	0.6469648246
286	0.6468211355
287	0.6466263934
288	0.6465413036
289	0.6464977138
290	0.6464643311
291	0.6463896807
292	0.6463607909
293	0.6463268032
294	0.646169152
295	0.646075516
296	0.6460569321
297	0.6460288244
298	0.6460127285
299	0.6459904111
300	0.6459409408
301	0.6458924039
302	0.6458573701
303	0.6458310086
304	0.6458075129
305	0.6457412708
306	0.6457301716
307	0.6456795532
308	0.645657631
309	0.6455928801
310	0.6455483991
311	0.6455017368
312	0.6454735014
313	0.6454531962
314	0.6454377569
315	0.6453466094
316	0.6453015735
317	0.6452744014
318	0.6452460441
319	0.6451997602
320	0.6451747042
321	0.6451434025
322	0.6450473359
323	0.6449774021
324	0.6449610766
325	0.6449401569
326	0.6448893677
327	0.6448567094
328	0.6448433784
329	0.6448249155
330	0.6448215218
331	0.6447979273
332	0.644730336
333	0.6447070506
334	0.6446157518
335	0.6445651231
336	0.6445450605
337	0.6445332725
338	0.6444994865
339	0.6444730229
340	0.6444105372
341	0.6442387267
342	0.6442102968
343	0.6441515447
344	0.6440772861
345	0.6440627809
346	0.6438869747
347	0.6438601731
348	0.6438318629
349	0.6438126199
350	0.6436935212
351	0.6436603562
352	0.643646266
353	0.643640159
354	0.6435870504
355	0.643569589
356	0.6434386449
357	0.6434219356
358	0.643407008
359	0.6433524735
360	0.6432939896
361	0.6432330356
362	0.643199577
363	0.6431239593
364	0.6431067807
365	0.6430423337
366	0.6430078347
367	0.6428901591
368	0.6428142559
369	0.6427934646
370	0.6427606008
371	0.6426690557
372	0.6425964382
373	0.6425701451
374	0.6425344885
375	0.6424853684
376	0.6423431478
377	0.6423276183
378	0.642304461
379	0.6422609363
380	0.642236566
381	0.6422069094
382	0.6421427943
383	0.6421113547
384	0.642096309
385	0.6420568967
386	0.6420241267
387	0.6419661032
388	0.6419435884
389	0.6419015976
390	0.641875635
391	0.6418538264
392	0.6418383836
393	0.6417491869
394	0.6417426615
395	0.6417077577
396	0.6416671821
397	0.6416230874
398	0.641604881
399	0.6415976333
400	0.6415821418
401	0.6415491845
402	0.6415024634
403	0.6414712185
404	0.6414556483
405	0.6414277141
406	0.6414187523
407	0.6412390697
408	0.6411866746
409	0.6411359478
410	0.6411197252
411	0.6411073768
412	0.6410732763
413	0.6410152399
414	0.6409126623
415	0.6408203657
416	0.6407937579
417	0.6407511626
418	0.6407353663
419	0.640692411
420	0.6406871601
421	0.6406339763
422	0.6406079505
423	0.640583251
424	0.6405339649
425	0.6404896931
426	0.6404413843
427	0.6404177431
428	0.6404104475
429	0.6403609916
430	0.6403200513
431	0.6402827774
432	0.6402004425
433	0.6401694054
434	0.6401470811
435	0.6401197575
436	0.6400725961
437	0.6400684731
438	0.6400487394
439	0.6399858024
440	0.6399322707
441	0.6399080065
442	0.6398989212
443	0.6398593732
444	0.6398338229
445	0.6397943118
446	0.6397361873
447	0.6397098077
448	0.6396973907
449	0.6396262854
450	0.6396148838
451	0.639581879
452	0.6395663942
453	0.6395466614
454	0.6395256776
455	0.6394656847
456	0.6394473638
457	0.6394364651
458	0.63936776
459	0.6392305458
460	0.6391906074
461	0.6390434575
462	0.639029273
463	0.6389940867
464	0.6388235427
465	0.6388052085
466	0.6387596268
467	0.6387082446
468	0.6386562421
469	0.6386245891
470	0.6386123815
471	0.6385857356
472	0.6385609979
473	0.6385521252
474	0.6385183312
475	0.638504541
476	0.6384872464
477	0.6384743991
478	0.6384101839
479	0.6383947893
480	0.6383807657
481	0.6383513788
482	0.6383457579
483	0.6383369832
484	0.6383106664
485	0.6382347625
486	0.6382150904
487	0.6381732657
488	0.6381613917
489	0.6381467977
490	0.6381251373
491	0.6381155874
492	0.6379301974
493	0.6379037974
494	0.6378436406
495	0.6378214457
496	0.6377283108
497	0.6377197889
498	0.6376973244
499	0.6376760836
