iter	Passed	Remaining
0	284	141916
1	531	132268
2	745	123548
3	962	119362
4	1191	117949
5	1413	116345
6	1617	113886
7	1836	112951
8	2067	112779
9	2290	112248
10	2507	111460
11	2712	110311
12	2935	109955
13	3158	109647
14	3376	109169
15	3589	108578
16	3808	108202
17	4021	107692
18	4237	107270
19	4470	107280
20	4687	106910
21	4894	106341
22	5124	106274
23	5322	105568
24	5538	105238
25	5755	104926
26	5981	104785
27	6187	104296
28	6414	104181
29	6640	104031
30	6860	103793
31	7086	103643
32	7297	103263
33	7510	102935
34	7730	102709
35	7954	102518
36	8171	102251
37	8392	102031
38	8607	101748
39	8821	101444
40	9053	101349
41	9259	100968
42	9466	100604
43	9689	100418
44	9905	100155
45	10130	99984
46	10343	99691
47	10558	99422
48	10762	99062
49	10976	98787
50	11200	98606
51	11418	98376
52	11631	98096
53	11843	97817
54	12074	97695
55	12289	97436
56	12506	97202
57	12729	97009
58	12948	96784
59	13170	96583
60	13418	96566
61	13628	96282
62	13852	96085
63	14080	95924
64	14286	95612
65	14514	95444
66	14729	95190
67	14948	94966
68	15168	94750
69	15377	94462
70	15598	94248
71	15797	93908
72	16001	93600
73	16228	93424
74	16433	93124
75	16650	92893
76	16864	92647
77	17070	92355
78	17292	92152
79	17506	91906
80	17716	91642
81	17729	90375
82	17947	90171
83	18168	89977
84	18382	89752
85	18594	89511
86	18815	89321
87	19031	89101
88	19253	88912
89	19477	88729
90	19690	88499
91	19909	88292
92	20152	88194
93	20379	88022
94	20601	87826
95	20821	87623
96	21026	87356
97	21231	87093
98	21436	86830
99	21644	86579
100	21859	86354
101	22078	86148
102	22283	85887
103	22498	85667
104	22709	85430
105	22914	85173
106	23146	85015
107	23363	84801
108	23575	84570
109	23796	84370
110	24010	84143
111	24232	83948
112	24447	83726
113	24662	83505
114	24884	83307
115	25110	83125
116	25325	82904
117	25549	82709
118	25770	82508
119	25991	82304
120	26229	82155
121	26452	81959
122	26689	81804
123	26905	81585
124	27116	81348
125	27345	81166
126	27562	80952
127	27786	80753
128	27998	80523
129	28214	80301
130	28412	80033
131	28631	79820
132	28837	79573
133	29039	79317
134	29257	79103
135	29473	78884
136	29704	78706
137	29930	78513
138	30156	78320
139	30361	78073
140	30579	77857
141	30809	77674
142	31037	77485
143	31256	77272
144	31311	76659
145	31544	76485
146	31774	76302
147	31985	76073
148	32213	75886
149	32419	75646
150	32644	75449
151	32864	75242
152	33081	75027
153	33301	74819
154	33528	74628
155	33751	74425
156	33956	74185
157	34176	73976
158	34402	73781
159	34622	73573
160	34836	73352
161	35049	73127
162	35279	72938
163	35498	72729
164	35721	72526
165	35936	72306
166	36153	72089
167	36370	71875
168	36589	71664
169	36801	71437
170	37013	71212
171	37231	70999
172	37445	70779
173	37452	70168
174	37670	69959
175	37881	69737
176	38093	69514
177	38303	69290
178	38513	69066
179	38732	68857
180	38943	68635
181	39164	68429
182	39387	68228
183	39598	68005
